,Unnamed: 0,filename,address,building_address_full,first_floor_elevation_ft,assessment_type,year_built,effective_year_built,roof_shape,roof_cover,wall_cladding,number_of_stories,building_address_full_cleaned,masked
10,110,Add%513 Goodland Dr W Goodland Collier FL%Gable.jpg,513 Goodland Dr W Goodland Collier FL 34140 US,513 Goodland Dr W Goodland Collier FL 34140 US,2.0,Single Family Residence,1970.0,1970.0,Gable,Asphalt shingles (3-tab),Vinyl siding,1.0,513GoodlandDrWGoodlandCollierFL34140US,0.0
11,258,Add%44 Pelican Ln Big Pine Key Monroe FL%Gable.jpg,44 Pelican Ln Big Pine Key Monroe FL 33043 US,44 Pelican Ln Big Pine Key Monroe FL 33043 US,8.0,Single Family Residence,1993.0,2003.0,Gable,Asphalt shingles (3-tab),Vinyl siding,2.0,44PelicanLnBigPineKeyMonroeFL33043US,0.0
12,716,Add%315 Porter Street Naples Collier County FL%Hip.jpg,315 Porter Street Naples Collier County Florida 34113 USA,315 Porter Street Naples Collier County Florida 34113 USA,0.0,Single Family Residence,2003.0,2003.0,Hip,Asphalt shingles (3-tab),Stucco,1.0,315PorterStreetNaplesCollierCountyFlorida34113USA,0.0
14,165,Add%500 Coconut Ave Goodland Collier FL%Complex.jpg,500 Coconut Ave Goodland Collier FL 34140 US,500 Coconut Ave Goodland Collier FL 34140 US,10.0,Single Family Residence,1995.0,1995.0,Complex,Standing Seam Metal,Vinyl siding,2.0,500CoconutAveGoodlandCollierFL34140US,0.0
16,349,Add%208 North Storter Avenue Everglades City Collier County FL%Gable.jpg,208 North Storter Avenue Everglades City Collier County Florida 34139 United States,208 North Storter Avenue Everglades City Collier County Florida 34139 United States,2.25,Single Family Residence,1939.0,2007.0,Gable,Standing Seam Metal,Vinyl siding,1.0,208NorthStorterAvenueEvergladesCityCollierCountyFlorida34139UnitedStates,0.0
17,105,Add%1101 86th Street Ocean Marathon Monroe County FL%Gable.jpg,1101 86th Street Ocean Marathon Monroe County Florida 33050 United States,1101 86th Street Ocean Marathon Monroe County Florida 33050 United States,0.0,Single Family Residence,1962.0,1992.0,Gable,Standing Seam Metal,Stucco,1.0,110186thStreetOceanMarathonMonroeCountyFlorida33050UnitedStates,0.0
18,41,Add%316 North Storter Avenue Everglades City Collier County FL%Hip.jpg,316 North Storter Avenue Everglades City Collier County Florida 34139 United States,316 North Storter Avenue Everglades City Collier County Florida 34139 United States,8.0,Single Family Residence,2003.0,2003.0,Hip,Standing Seam Metal,Vinyl siding,2.0,316NorthStorterAvenueEvergladesCityCollierCountyFlorida34139UnitedStates,0.0
19,564,Add%27731 Astrangia Avenue Little Torch Key Monroe County FL%Gable.jpg,27731 Astrangia Avenue Little Torch Key Monroe County Florida 33042 US,27731 Astrangia Avenue Little Torch Key Monroe County Florida 33042 US,2.0,Mobile Home,1985.0,1997.0,Gable,Asphalt shingles (3-tab),Sheet metal,1.0,27731AstrangiaAvenueLittleTorchKeyMonroeCountyFlorida33042US,0.0
20,632,Add%1669 Watson Boulevard Big Pine Key Monroe County FL%Hip.jpg,1669 Watson Boulevard Big Pine Key Monroe County Florida 33043 US,1669 Watson Boulevard Big Pine Key Monroe County Florida 33043 US,11.0,Single Family Residence,1990.0,2000.0,Hip,Tile (clay),Stucco,1.0,1669WatsonBoulevardBigPineKeyMonroeCountyFlorida33043US,0.0
21,653,Add%27359 Jamaica Lane Ramrod Key Monroe County FL%Hip_Gable.jpg,27359 Jamaica Lane Ramrod Key Monroe County Florida 33042 United States,27359 Jamaica Lane Ramrod Key Monroe County Florida 33042 United States,8.0,Single Family Residence,1995.0,1995.0,Hip/Gable,Standing Seam Metal,Vinyl siding,1.0,27359JamaicaLaneRamrodKeyMonroeCountyFlorida33042UnitedStates,0.0
22,89,Add%225 Sunset Drive Islamorada Monroe County FL%Complex.jpg,225 Sunset Drive Islamorada Monroe County Florida 33036 United States,225 Sunset Drive Islamorada Monroe County Florida 33036 United States,2.0,Single Family Residence,1958.0,1995.0,Complex,Standing Seam Metal,"Stucco,Wood plank siding",2.0,225SunsetDriveIslamoradaMonroeCountyFlorida33036UnitedStates,0.0
23,335,Add%939 South Joy Circle Marco Island Collier County FL%Hip_Complex.jpg,939 South Joy Circle Marco Island Collier County Florida 34145 US,939 South Joy Circle Marco Island Collier County Florida 34145 US,1.75,Single Family Residence,1992.0,1992.0,"Hip,Complex",Tile (clay),Stucco,2.0,939SouthJoyCircleMarcoIslandCollierCountyFlorida34145US,0.0
25,27,Add%128 Indies Dr S Duck Key Monroe FL%Hip_Gable.jpg,128 Indies Dr S Duck Key Monroe FL 33050 US,128 Indies Dr S Duck Key Monroe FL 33050 US,0.0,Single Family Residence,1990.0,2000.0,Hip/Gable,Tile (clay),Stucco,2.0,128IndiesDrSDuckKeyMonroeFL33050US,0.0
26,650,Add%650 6th Ave Marco Island Collier FL%Gable.jpg,650 6th Ave Marco Island Collier FL 34145 US,650 6th Ave Marco Island Collier FL 34145 US,0.0,Single Family Residence,1972.0,1972.0,Gable,Asphalt shingles (laminated),Stucco,1.0,6506thAveMarcoIslandCollierFL34145US,0.0
27,436,Add%1286 Orange Ct Marco Island Collier FL%Complex.jpg,1286 Orange Ct Marco Island Collier FL 34145 US,1286 Orange Ct Marco Island Collier FL 34145 US,1.0,Single Family Residence,2007.0,2007.0,Complex,Tile (clay),Stucco,2.0,1286OrangeCtMarcoIslandCollierFL34145US,0.0
28,573,Add%413 Mango Ave Goodland Collier FL%Gable.jpg,413 Mango Ave Goodland Collier FL 34140 US,413 Mango Ave Goodland Collier FL 34140 US,2.0,Single Family Residence,1954.0,1954.0,Gable,Standing Seam Metal,Wood panel siding,1.0,413MangoAveGoodlandCollierFL34140US,0.0
29,463,Add%595 Hernando Dr Marco Island Collier FL%Hip.jpg,595 Hernando Dr Marco Island Collier FL 34145 US,595 Hernando Dr Marco Island Collier FL 34145 US,0.0,Single Family Residence,1988.0,1988.0,Hip,Asphalt shingles (3-tab),"Stucco,Wood panel siding",2.0,595HernandoDrMarcoIslandCollierFL34145US,0.0
30,524,Add%210 Copeland Ave N Everglades City Collier FL%Complex.jpg,210 Copeland Ave N Everglades City Collier Florida 34139 USA,210 Copeland Ave N Everglades City Collier Florida 34139 USA,12.0,Single Family Residence,2009.0,2009.0,Complex,Standing Seam Metal,Vinyl siding,2.0,210CopelandAveNEvergladesCityCollierFlorida34139USA,0.0
33,629,Add%1213 Chokoloskee Drive Chokoloskee Collier FL%Gable.jpg,1213 Chokoloskee Drive Chokoloskee Collier Florida 34138 USA,1213 Chokoloskee Drive Chokoloskee Collier Florida 34138 USA,0.0,Single Family Residence,1962.0,1962.0,Gable,Standing Seam Metal,Vinyl siding,1.0,1213ChokoloskeeDriveChokoloskeeCollierFlorida34138USA,0.0
34,639,Add%75611 Overseas Hwy Islamorada Monroe FL%Gable.jpg,75611 Overseas Hwy Islamorada Monroe FL 33036 US,75611 Overseas Hwy Islamorada Monroe FL 33036 US,8.0,Single Family Residence,1987.0,2000.0,Gable,Asphalt shingles (3-tab),Vinyl siding,1.0,75611OverseasHwyIslamoradaMonroeFL33036US,0.0
35,194,Add%561 Blackbeard Rd Little Torch Key Monroe County FL%Gable.jpg,561 Blackbeard Rd Little Torch Key Monroe County Florida 33042 United States,561 Blackbeard Rd Little Torch Key Monroe County Florida 33042 United States,9.0,Single Family Residence,1987.0,1987.0,Gable,Asphalt shingles (3-tab),Wood plank siding,2.0,561BlackbeardRdLittleTorchKeyMonroeCountyFlorida33042UnitedStates,0.0
36,623,Add%13 Boulder Dr Key West Monroe FL%Gable.jpg,13 Boulder Dr Key West Monroe FL 33040 US,13 Boulder Dr Key West Monroe FL 33040 US,9.0,Single Family Residence,2001.0,2010.0,Gable,Asphalt shingles (laminated),Wood plank siding,1.0,13BoulderDrKeyWestMonroeFL33040US,0.0
37,611,Add%616 Nassau Road Marco Island Collier County FL%Hip_Complex.jpg,616 Nassau Road Marco Island Collier County Florida 34145 United States,616 Nassau Road Marco Island Collier County Florida 34145 United States,0.0,Single Family Residence,1994.0,1994.0,"Hip,Complex",Asphalt shingles (laminated),Stucco,1.0,616NassauRoadMarcoIslandCollierCountyFlorida34145UnitedStates,0.0
38,77,Add%1289 Orange Court Marco Island Collier County FL%Complex.jpg,1289 Orange Court Marco Island Collier County Florida 34145 US,1289 Orange Court Marco Island Collier County Florida 34145 US,1.0,Single Family Residence,2002.0,2002.0,Complex,Tile (concrete),Stucco,2.0,1289OrangeCourtMarcoIslandCollierCountyFlorida34145US,0.0
39,365,Add%401 Copeland Ave N Everglades City Collier FL%Hip.jpg,401 Copeland Ave N Everglades City Collier Florida 34139 USA,401 Copeland Ave N Everglades City Collier Florida 34139 USA,1.0,Single Family Residence,1960.0,1960.0,Hip,Standing Seam Metal,Wood plank siding,1.0,401CopelandAveNEvergladesCityCollierFlorida34139USA,0.0
40,345,Add%563 86th St Marathon Monroe FL%Gable.jpg,563 86th St Marathon Monroe FL 33050 US,563 86th St Marathon Monroe FL 33050 US,8.0,Single Family Residence,2005.0,2005.0,Gable,Asphalt shingles (laminated),Vinyl siding,1.0,56386thStMarathonMonroeFL33050US,0.0
41,102,Add%1242 6th Avenue Marco Island Collier County FL%Hip.jpg,1242 6th Avenue Marco Island Collier County Florida 34145 Estados Unidos,1242 6th Avenue Marco Island Collier County Florida 34145 Estados Unidos,0.0,Single Family Residence,2000.0,2000.0,Hip,Asphalt shingles (3-tab),Stucco,1.0,12426thAvenueMarcoIslandCollierCountyFlorida34145EstadosUnidos,0.0
43,688,Add%30850 Minorca Drive Big Pine Key Monroe County FL%Gable.jpg,30850 Minorca Drive Big Pine Key Monroe County Florida 33043 US,30850 Minorca Drive Big Pine Key Monroe County Florida 33043 US,9.0,Single Family Residence,1977.0,1987.0,Gable,Standing Seam Metal,Stucco,1.0,30850MinorcaDriveBigPineKeyMonroeCountyFlorida33043US,0.0
44,551,Add%856 Inlet Dr Marco Island Collier FL%Complex.jpg,856 Inlet Dr Marco Island Collier FL 34145 US,856 Inlet Dr Marco Island Collier FL 34145 US,0.0,Single Family Residence,1987.0,1987.0,Complex,Tile (clay),Stucco,1.0,856InletDrMarcoIslandCollierFL34145US,0.0
46,96,Add%19669 Indian Mound Dr Sugarloaf Key Monroe FL%Gable.jpg,19669 Indian Mound Dr Sugarloaf Key Monroe FL 33042 US,19669 Indian Mound Dr Sugarloaf Key Monroe FL 33042 US,9.0,Single Family Residence,1994.0,2000.0,Gable,Standing Seam Metal,Vinyl siding,1.0,19669IndianMoundDrSugarloafKeyMonroeFL33042US,0.0
47,438,Add%206 North Storter Avenue Everglades City Collier County FL%Gable.jpg,206 North Storter Avenue Everglades City Collier County Florida 34139 United States,206 North Storter Avenue Everglades City Collier County Florida 34139 United States,1.5,Single Family Residence,1925.0,2014.0,Gable,Standing Seam Metal,Vinyl siding,1.0,206NorthStorterAvenueEvergladesCityCollierCountyFlorida34139UnitedStates,0.0
48,222,Add%1195 Chokoloskee Drive Chokoloskee Collier FL%Complex.jpg,1195 Chokoloskee Drive Chokoloskee Collier Florida 34138 USA,1195 Chokoloskee Drive Chokoloskee Collier Florida 34138 USA,2.0,Single Family Residence,1930.0,1930.0,Complex,Metal shingle,Vinyl siding,1.0,1195ChokoloskeeDriveChokoloskeeCollierFlorida34138USA,0.0
50,167,Add%576 Coconut Ave Goodland Collier FL%Gable.jpg,576 Coconut Ave Goodland Collier FL 34140 US,576 Coconut Ave Goodland Collier FL 34140 US,0.0,Single Family Residence,1965.0,2000.0,Gable,Asphalt shingles (3-tab),Stucco,2.0,576CoconutAveGoodlandCollierFL34140US,0.0
51,296,Add%19507 Indian Mound Dr Sugarloaf Key Monroe FL%Gable.jpg,19507 Indian Mound Dr Sugarloaf Key Monroe FL 33042 US,19507 Indian Mound Dr Sugarloaf Key Monroe FL 33042 US,8.0,Single Family Residence,1958.0,1980.0,Gable,Asphalt shingles (laminated),Vinyl siding,1.0,19507IndianMoundDrSugarloafKeyMonroeFL33042US,0.0
52,630,Add%35 Blue Water Drive Key West Monroe FL%Gable.jpg,35 Blue Water Drive Key West Monroe FL 33040 US,35 Blue Water Drive Key West Monroe FL 33040 US,1.0,Single Family Residence,2014.0,2014.0,Gable,Standing Seam Metal,Wood plank siding,1.0,35BlueWaterDriveKeyWestMonroeFL33040US,0.0
53,290,Add%1273 Fruitland Avenue Marco Island Collier County FL%Hip_Complex.jpg,1273 Fruitland Avenue Marco Island Collier County Florida 34145 United States,1273 Fruitland Avenue Marco Island Collier County Florida 34145 United States,1.0,Single Family Residence,1968.0,1997.0,"Hip,Complex",Tile (concrete),Stucco,1.0,1273FruitlandAvenueMarcoIslandCollierCountyFlorida34145UnitedStates,0.0
54,592,Add%450 West Joy Circle Marco Island Collier County FL%Hip_Complex.jpg,450 West Joy Circle Marco Island Collier County Florida 34145 United States,450 West Joy Circle Marco Island Collier County Florida 34145 United States,0.0,Single Family Residence,1995.0,1995.0,"Hip,Complex",Tile (clay),Stucco,1.0,450WestJoyCircleMarcoIslandCollierCountyFlorida34145UnitedStates,0.0
56,60,Add%825 W Elkcam Cir Marco Island Collier FL%Complex.jpg,825 W Elkcam Cir Marco Island Collier FL 34145 US,825 W Elkcam Cir Marco Island Collier FL 34145 US,3.0,Apartment / Condo,1988.0,1988.0,Complex,Standing Seam Metal,Wood plank siding,2.0,825WElkcamCirMarcoIslandCollierFL34145US,0.0
57,315,Add%1350 Hudgins Drive Summerland Key Monroe County FL%Gable.jpg,1350 Hudgins Drive Summerland Key Monroe County Florida 33042 United States,1350 Hudgins Drive Summerland Key Monroe County Florida 33042 United States,8.0,Single Family Residence,1979.0,1995.0,Gable,Standing Seam Metal,Wood plank siding,1.0,1350HudginsDriveSummerlandKeyMonroeCountyFlorida33042UnitedStates,0.0
58,74,Add%30368 Killdeer Ln Big Pine Key Monroe County FL%Gable.jpg,30368 Killdeer Ln Big Pine Key Monroe County Florida 33043 United States,30368 Killdeer Ln Big Pine Key Monroe County Florida 33043 United States,5.0,Single Family Residence,1979.0,1989.0,Gable,Standing Seam Metal,Stucco,1.0,30368KilldeerLnBigPineKeyMonroeCountyFlorida33043UnitedStates,0.0
59,108,Add%560 Nassau Road Marco Island Collier County FL%Hip_Complex.jpg,560 Nassau Road Marco Island Collier County Florida 34145 United States,560 Nassau Road Marco Island Collier County Florida 34145 United States,0.0,Single Family Residence,1972.0,2002.0,"Hip,Complex",Asphalt shingles (laminated),"Stucco,Wood panel siding",1.0,560NassauRoadMarcoIslandCollierCountyFlorida34145UnitedStates,0.0
60,402,Add%608 6th Avenue Marco Island Collier County FL%Hip.jpg,608 6th Avenue Marco Island Collier County Florida 34145 Estados Unidos,608 6th Avenue Marco Island Collier County Florida 34145 Estados Unidos,0.0,Single Family Residence,1993.0,1992.0,Hip,Asphalt shingles (3-tab),Stucco,1.0,6086thAvenueMarcoIslandCollierCountyFlorida34145EstadosUnidos,0.0
61,53,Add%2995 41st Street SW Naples Collier FL%Gable.jpg,2995 41st Street SW Naples Collier Florida 34116 USA,2995 41st Street SW Naples Collier Florida 34116 USA,0.0,Single Family Residence,1980.0,1980.0,Gable,Asphalt shingles (3-tab),Stucco,1.0,299541stStreetSWNaplesCollierFlorida34116USA,0.0
62,587,Add%291 Porter St Naples Collier FL%Gable.jpg,291 Porter St Naples Collier FL 34113 US,291 Porter St Naples Collier FL 34113 US,0.0,Single Family Residence,1977.0,1990.0,Gable,Asphalt shingles (3-tab),Stucco,1.0,291PorterStNaplesCollierFL34113US,0.0
63,668,Add%1030 Hartley Street Marco Island Collier County FL%Hip_Gable.jpg,1030 Hartley Street Marco Island Collier County Florida 34145 US,1030 Hartley Street Marco Island Collier County Florida 34145 US,0.0,Single Family Residence,2000.0,2000.0,Hip/Gable,Asphalt shingles (laminated),Stucco,1.0,1030HartleyStreetMarcoIslandCollierCountyFlorida34145US,0.0
64,179,Add%1217 Fruitland Avenue Marco Island Collier County FL%Hip_Complex.jpg,1217 Fruitland Avenue Marco Island Collier County Florida 34145 United States,1217 Fruitland Avenue Marco Island Collier County Florida 34145 United States,0.0,Single Family Residence,1967.0,1967.0,"Hip,Complex",Standing Seam Metal,Wood panel siding,1.0,1217FruitlandAvenueMarcoIslandCollierCountyFlorida34145UnitedStates,0.0
65,414,Add%286 Porter St Naples Collier FL%Hip.jpg,286 Porter St Naples Collier FL 34113 US,286 Porter St Naples Collier FL 34113 US,0.0,Single Family Residence,1995.0,1995.0,Hip,Asphalt shingles (laminated),Stucco,1.0,286PorterStNaplesCollierFL34113US,0.0
66,101,Add%930 80th St Marathon Monroe County FL%Gable.jpg,930 80th St Marathon Monroe County Florida 33050 United States,930 80th St Marathon Monroe County Florida 33050 United States,8.0,Single Family Residence,2004.0,2007.0,Gable,Asphalt shingles (3-tab),Vinyl siding,2.0,93080thStMarathonMonroeCountyFlorida33050UnitedStates,0.0
67,646,Add%568 Coconut Ave Goodland Collier FL%Gable.jpg,568 Coconut Ave Goodland Collier FL 34140 US,568 Coconut Ave Goodland Collier FL 34140 US,8.0,Single Family Residence,1967.0,1967.0,Gable,Asphalt shingles (3-tab),Wood plank siding,2.0,568CoconutAveGoodlandCollierFL34140US,0.0
68,549,Add%310 North Storter Avenue Everglades City Collier County FL%Hip.jpg,310 North Storter Avenue Everglades City Collier County Florida 34139 United States,310 North Storter Avenue Everglades City Collier County Florida 34139 United States,8.0,Single Family Residence,2003.0,2003.0,Hip,Standing Seam Metal,Vinyl siding,1.0,310NorthStorterAvenueEvergladesCityCollierCountyFlorida34139UnitedStates,0.0
69,647,Add%919 South Joy Circle Marco Island Collier County FL%Hip.jpg,919 South Joy Circle Marco Island Collier County Florida 34145 US,919 South Joy Circle Marco Island Collier County Florida 34145 US,3.0,Single Family Residence,1987.0,1987.0,Hip,Asphalt shingles (laminated),Stucco,1.0,919SouthJoyCircleMarcoIslandCollierCountyFlorida34145US,0.0
71,9,Add%1216 Orange Ct Marco Island Collier FL%Complex.jpg,1216 Orange Ct Marco Island Collier FL 34145 US,1216 Orange Ct Marco Island Collier FL 34145 US,0.0,Single Family Residence,1977.0,1980.0,Complex,Asphalt shingles (laminated),Wood panel siding,1.0,1216OrangeCtMarcoIslandCollierFL34145US,0.0
72,432,Add%4570 Meridian Ave Miami Beach  Miami-Dade FL%Hip.jpg,4570 Meridian Ave Miami Beach  Miami-Dade FL 33140 US,4570 Meridian Ave Miami Beach  Miami-Dade FL 33140 US,0.0,Single Family Residence,1951.0,1951.0,Hip,Asphalt shingles (3-tab),Stucco,1.0,4570MeridianAveMiamiBeachMiami-DadeFL33140US,0.0
73,491,Add%576 Nassau Road Marco Island Collier County FL%Hip_Gable.jpg,576 Nassau Road Marco Island Collier County Florida 34145 United States,576 Nassau Road Marco Island Collier County Florida 34145 United States,1.75,Single Family Residence,1993.0,1993.0,Hip/Gable,Asphalt shingles (laminated),Stucco,1.0,576NassauRoadMarcoIslandCollierCountyFlorida34145UnitedStates,0.0
74,285,Add%28211 Dorothy Avenue Little Torch Key Monroe County FL%Gable.jpg,28211 Dorothy Avenue Little Torch Key Monroe County Florida 33042 United States,28211 Dorothy Avenue Little Torch Key Monroe County Florida 33042 United States,0.0,Single Family Residence,1956.0,1986.0,Gable,Standing Seam Metal,Wood panel siding,1.0,28211DorothyAvenueLittleTorchKeyMonroeCountyFlorida33042UnitedStates,0.0
75,473,Add%27339 Jamaica Ln Ramrod Key Monroe FL%Gable.jpg,27339 Jamaica Ln Ramrod Key Monroe FL 33042 US,27339 Jamaica Ln Ramrod Key Monroe FL 33042 US,8.0,Single Family Residence,1968.0,2005.0,Gable,Asphalt shingles (laminated),Stucco,2.0,27339JamaicaLnRamrodKeyMonroeFL33042US,0.0
76,372,Add%474 West Joy Circle Marco Island Collier County FL%Hip_Complex.jpg,474 West Joy Circle Marco Island Collier County Florida 34145 US,474 West Joy Circle Marco Island Collier County Florida 34145 US,0.0,Single Family Residence,1994.0,1994.0,"Hip,Complex",Tile (clay),Stucco,2.0,474WestJoyCircleMarcoIslandCollierCountyFlorida34145US,0.0
77,404,Add%943 N Barfield Dr Marco Island Collier FL%Hip.jpg,943 N Barfield Dr Marco Island Collier FL 34145 US,943 N Barfield Dr Marco Island Collier FL 34145 US,0.0,Single Family Residence,1985.0,1985.0,Hip,Asphalt shingles (3-tab),Wood plank siding,1.0,943NBarfieldDrMarcoIslandCollierFL34145US,0.0
78,516,Add%699 89th Street Ocean Marathon Monroe County FL%Gable.jpg,699 89th Street Ocean Marathon Monroe County Florida 33050 United States,699 89th Street Ocean Marathon Monroe County Florida 33050 United States,8.0,Single Family Residence,1989.0,2009.0,Gable,Asphalt shingles (3-tab),Vinyl siding,1.0,69989thStreetOceanMarathonMonroeCountyFlorida33050UnitedStates,0.0
79,240,Add%1285 Orange Court Marco Island Collier County FL%Gable.jpg,1285 Orange Court Marco Island Collier County Florida 34145 US,1285 Orange Court Marco Island Collier County Florida 34145 US,2.0,Single Family Residence,1976.0,1976.0,Gable,Tile (clay),Stucco,1.0,1285OrangeCourtMarcoIslandCollierCountyFlorida34145US,0.0
80,687,Add%790 89th St Marathon Monroe FL%Gable.jpg,790 89th St Marathon Monroe FL 33050 US,790 89th St Marathon Monroe FL 33050 US,0.0,Single Family Residence,1973.0,1993.0,Gable,Asphalt shingles (3-tab),Stucco,1.0,79089thStMarathonMonroeFL33050US,0.0
82,501,Add%312 Copeland Ave N Everglades City Collier FL%Hip_Gable.jpg,312 Copeland Ave N Everglades City Collier Florida 34139 USA,312 Copeland Ave N Everglades City Collier Florida 34139 USA,8.0,Single Family Residence,1985.0,1985.0,Hip/Gable,Standing Seam Metal,Wood panel siding,2.0,312CopelandAveNEvergladesCityCollierFlorida34139USA,0.0
83,377,Add%1293 6th Ave Marco Island Collier FL%Hip_Gable.jpg,1293 6th Ave Marco Island Collier FL 34145 US,1293 6th Ave Marco Island Collier FL 34145 US,0.0,Single Family Residence,1994.0,1994.0,Hip/Gable,Asphalt shingles (laminated),Stucco,1.0,12936thAveMarcoIslandCollierFL34145US,0.0
84,487,Add%404 Buckner Avenue North Everglades City Collier County FL%Gable.jpg,404 Buckner Avenue North Everglades City Collier County Florida 34139 United States,404 Buckner Avenue North Everglades City Collier County Florida 34139 United States,8.0,Single Family Residence,2005.0,2005.0,Gable,Asphalt shingles (laminated),Vinyl siding,1.0,404BucknerAvenueNorthEvergladesCityCollierCountyFlorida34139UnitedStates,0.0
85,504,Add%22 Beach Dr Key West Monroe FL%Flat.jpg,22 Beach Dr Key West Monroe FL 33040 US,22 Beach Dr Key West Monroe FL 33040 US,2.0,Mobile Home,1980.0,1989.0,Flat,Corrugated metal,Sheet metal,1.0,22BeachDrKeyWestMonroeFL33040US,0.0
86,207,Add%19561 Aztec St Sugarloaf Key Monroe FL%Gable.jpg,19561 Aztec St Sugarloaf Key Monroe FL 33042 US,19561 Aztec St Sugarloaf Key Monroe FL 33042 US,9.0,Single Family Residence,1986.0,1995.0,Gable,Standing Seam Metal,Wood plank siding,1.0,19561AztecStSugarloafKeyMonroeFL33042US,0.0
87,409,Add%1663 Bayview Dr Little Torch Key Monroe FL%Gable.jpg,1663 Bayview Dr Little Torch Key Monroe FL 33042 US,1663 Bayview Dr Little Torch Key Monroe FL 33042 US,8.0,Single Family Residence,2006.0,2006.0,Gable,Asphalt shingles (laminated),Vinyl siding,1.0,1663BayviewDrLittleTorchKeyMonroeFL33042US,0.0
88,205,Add%411 Buckner Avenue North Everglades City Collier County FL%Gable.jpg,411 Buckner Avenue North Everglades City Collier County Florida 34139 United States,411 Buckner Avenue North Everglades City Collier County Florida 34139 United States,3.0,Church,1995.0,2015.0,Gable,Asphalt shingles (laminated),Vinyl siding,1.0,411BucknerAvenueNorthEvergladesCityCollierCountyFlorida34139UnitedStates,0.0
89,500,Add%351 Porter St Naples Collier FL%Hip.jpg,351 Porter St Naples Collier FL 34113 US,351 Porter St Naples Collier FL 34113 US,0.0,Single Family Residence,2002.0,2002.0,Hip,Tile (clay),Stucco,1.0,351PorterStNaplesCollierFL34113US,0.0
