BldgID,YearBuilt
NJBF000054802,2013
NJBF000092422,1975
NJBF000052048,1993
NJBF000077229,1956
NJBF000087555,1969
NJBF000085650,1985
NJBF000084055,1866
NJBF000094173,1960
NJBF000066953,1969
NJBF000067530,1969
NJBF000080017,1971
NJBF000098014,1934
NJBF000094147,1960
NJBF000083819,1958
NJBF000051739,1953
NJBF000087682,1966
NJBF000083125,1969
NJBF000067039,1969
NJBF000085655,1985
NJBF000064932,1860
NJBF000053623,1928
NJBF000070810,1969
NJBF000075934,1987
NJBF000060106,1956
NJBF000090740,1976
NJBF000091638,1953
NJBF000052514,1969
NJBF000086592,1969
NJBF000067877,1900
NJBF000090772,1952
NJBF000090773,1952
NJBF000083357,1949
NJBF000068827,1969
NJBF000070418,1969
NJBF000087111,1960
NJBF000092876,1965
NJBF000090876,1983
NJBF000082857,1950
NJBF000087663,1969
NJBF000075377,1960
NJBF000085398,1960
NJBF000085158,1984
NJBF000083907,1994
NJBF000073313,1969
NJBF000073035,1969
NJBF000065103,2012
NJBF000088767,2004
NJBF000070587,1969
NJBF000071302,1969
NJBF000090798,1956
NJBF000066619,1981
NJBF000091632,1920
NJBF000081061,1994
NJBF000067153,1980
NJBF000087808,1969
NJBF000086595,1969
NJBF000092193,1935
NJBF000084967,1984
NJBF000056556,2012
NJBF000091006,1960
NJBF000085568,1961
NJBF000066905,1969
NJBF000091210,1969
NJBF000090589,1952
NJBF000085639,1966
NJBF000088511,1961
NJBF000083772,1960
NJBF000091562,1950
NJBF000086171,1810
NJBF000084091,1926
NJBF000067013,1969
NJBF000068281,1969
NJBF000096771,1960
NJBF000067303,1969
NJBF000052573,1970
NJBF000075264,1905
NJBF000085602,1969
NJBF000083267,1969
NJBF000073032,1969
NJBF000093195,1969
NJBF000076343,2013
NJBF000067005,1969
NJBF000052972,1969
NJBF000067000,1969
NJBF000067045,1969
NJBF000066870,1969
NJBF000067062,1969
NJBF000073016,1969
NJBF000097801,1900
NJBF000095505,1971
NJBF000087288,1980
NJBF000087599,1948
NJBF000074552,1969
NJBF000092789,1965
NJBF000085498,1985
NJBF000084670,2006
NJBF000052384,1948
NJBF000094557,1958
NJBF000086974,1999
NJBF000085286,1960
NJBF000098384,1960
NJBF000081098,1920
NJBF000082450,1969
NJBF000077148,1950
NJBF000072680,1969
NJBF000088098,1960
NJBF000071245,1969
NJBF000095480,1969
NJBF000088744,1930
NJBF000084393,1936
NJBF000070464,1969
NJBF000086572,1976
NJBF000070402,1969
NJBF000052989,1962
NJBF000076747,1958
NJBF000078331,1950
NJBF000077993,2008
NJBF000073509,1987
NJBF000076799,1997
NJBF000074714,1968
NJBF000073094,2008
NJBF000078649,2015
NJBF000075007,1968
NJBF000076649,1957
NJBF000077041,1955
NJBF000076014,1975
NJBF000076122,1950
NJBF000074951,1970
NJBF000076280,1955
NJBF000077814,1956
NJBF000076854,2009
NJBF000073577,1985
NJBF000052210,1966
NJBF000077477,1951
NJBF000076588,2005
NJBF000077411,1953
NJBF000074052,1980
NJBF000081792,1990
NJBF000076250,1960
NJBF000080553,1955
NJBF000081338,1962
NJBF000081765,1965
NJBF000080772,1985
NJBF000052200,2002
NJBF000076444,2010
NJBF000079359,2005
NJBF000076852,1925
NJBF000074133,1944
NJBF000078337,1957
NJBF000076809,1930
NJBF000075780,1948
NJBF000080615,1966
NJBF000074151,1986
NJBF000075511,1968
NJBF000075747,1955
NJBF000077832,1990
NJBF000052153,1959
NJBF000080635,1982
NJBF000077260,2004
NJBF000081117,1980
NJBF000081105,1980
NJBF000052084,1982
NJBF000052377,2002
NJBF000073745,2006
NJBF000078625,1997
NJBF000074835,1976
NJBF000075683,1969
NJBF000077094,1969
NJBF000074542,1987
NJBF000079513,1965
NJBF000073442,1969
NJBF000075454,2003
NJBF000073749,1986
NJBF000077871,1950
NJBF000077733,2001
NJBF000073984,1987
NJBF000077868,1952
NJBF000081431,1970
NJBF000081841,1967
NJBF000081450,1969
NJBF000078334,1984
NJBF000080083,1959
NJBF000075453,1968
NJBF000080109,1950
NJBF000074467,1930
NJBF000074426,1925
NJBF000081632,2007
NJBF000081659,1981
NJBF000081585,1988
NJBF000074320,1954
NJBF000081397,1987
NJBF000081388,1971
NJBF000081451,1969
NJBF000081391,1989
NJBF000081400,2012
NJBF000081513,1966
NJBF000081503,1967
NJBF000081378,1972
NJBF000081412,1968
NJBF000080339,1969
NJBF000080346,1969
NJBF000074199,1980
NJBF000080763,1957
NJBF000081366,1964
NJBF000080264,2012
NJBF000080289,1956
NJBF000080387,1985
NJBF000080400,1969
NJBF000080285,1973
NJBF000080777,1969
NJBF000081324,1988
NJBF000081198,1987
NJBF000081218,1986
NJBF000081196,1960
NJBF000079182,1973
NJBF000078618,1969
NJBF000078076,1969
NJBF000079178,2004
NJBF000081341,1985
NJBF000080279,1972
NJBF000077582,1987
NJBF000081305,2000
NJBF000079431,1978
NJBF000080127,1978
NJBF000080254,2015
NJBF000080272,1970
NJBF000080260,2004
NJBF000081136,1989
NJBF000079592,2004
NJBF000076745,1952
NJBF000074449,1997
NJBF000074417,2001
NJBF000079560,1956
NJBF000079553,1960
NJBF000076245,1969
NJBF000076338,1965
NJBF000079434,1958
NJBF000081052,2009
NJBF000076213,1954
NJBF000081145,1957
NJBF000081125,2007
NJBF000080291,1969
NJBF000080759,1998
NJBF000080305,1950
NJBF000080762,2012
NJBF000075131,1984
NJBF000081006,1968
NJBF000081000,1968
NJBF000081270,1978
NJBF000081157,1987
NJBF000074567,1969
NJBF000076489,1969
NJBF000081232,2000
NJBF000075299,1969
NJBF000075648,1969
NJBF000076026,1954
NJBF000075806,2011
NJBF000075730,1969
NJBF000075136,1970
NJBF000075983,1954
NJBF000080992,1978
NJBF000074992,1968
NJBF000075290,1969
NJBF000075705,1990
NJBF000075255,2011
NJBF000075804,1950
NJBF000075387,1968
NJBF000076795,2007
NJBF000076448,2003
NJBF000075434,1968
NJBF000075259,1968
NJBF000075822,1969
NJBF000075695,1952
NJBF000075685,2007
NJBF000075653,1989
NJBF000079209,1960
NJBF000075496,2005
NJBF000075894,1969
NJBF000075417,1984
NJBF000075841,1950
NJBF000075818,1969
NJBF000076367,1969
NJBF000081252,1987
NJBF000076542,2015
NJBF000075623,1969
NJBF000076536,1950
NJBF000079197,1960
NJBF000076857,2008
NJBF000079092,1957
NJBF000077288,1994
NJBF000076648,1950
NJBF000075138,1964
NJBF000052293,1965
NJBF000052273,2011
NJBF000052380,1965
NJBF000052360,1963
NJBF000080656,1964
NJBF000073072,1969
NJBF000081956,1955
NJBF000076625,1969
NJBF000081135,1971
NJBF000081264,1987
NJBF000079837,1972
NJBF000077204,1959
NJBF000076824,2014
NJBF000081244,1960
NJBF000081130,1969
NJBF000081144,1975
NJBF000073271,1975
NJBF000081528,1980
NJBF000078578,1946
NJBF000081506,1955
NJBF000081514,2017
NJBF000081409,1956
NJBF000081811,2012
NJBF000081427,1978
NJBF000076260,1954
NJBF000081837,1969
NJBF000080098,1978
NJBF000076252,1969
NJBF000081842,1969
NJBF000081413,1972
NJBF000074568,1968
NJBF000074527,1977
NJBF000081746,1989
NJBF000081665,1986
NJBF000081383,1987
NJBF000081452,1985
NJBF000081395,1989
NJBF000080281,2009
NJBF000081380,2005
NJBF000080792,2000
NJBF000081306,1989
NJBF000081325,1980
NJBF000078077,1954
NJBF000074930,1968
NJBF000081205,1960
NJBF000081311,1961
NJBF000080132,1974
NJBF000079435,1965
NJBF000076340,1952
NJBF000078065,1936
NJBF000074521,1987
NJBF000080751,1976
NJBF000080996,1975
NJBF000076305,1960
NJBF000078866,1984
NJBF000077346,1928
NJBF000080949,1981
NJBF000081065,1974
NJBF000080942,1993
NJBF000081091,1987
NJBF000080898,1996
NJBF000080983,1977
NJBF000080743,1968
NJBF000080806,2001
NJBF000080882,1985
NJBF000080666,1999
NJBF000080840,1996
NJBF000080857,1972
NJBF000080821,1972
NJBF000080692,1975
NJBF000080904,1971
NJBF000080804,1991
NJBF000080816,1996
NJBF000080801,2004
NJBF000080888,1981
NJBF000080729,1982
NJBF000080673,1986
NJBF000080605,1990
NJBF000080679,1987
NJBF000080624,1970
NJBF000076168,1948
NJBF000080697,1980
NJBF000080667,1956
NJBF000076272,1947
NJBF000079601,1955
NJBF000079581,2007
NJBF000080048,1961
NJBF000080070,1987
NJBF000080187,1950
NJBF000080071,1956
NJBF000080053,2000
NJBF000079867,1972
NJBF000079755,2016
NJBF000079790,1968
NJBF000079889,2005
NJBF000079793,1969
NJBF000079548,1977
NJBF000079734,1972
NJBF000079722,1987
NJBF000079716,1978
NJBF000079745,1974
NJBF000079677,2005
NJBF000079628,1972
NJBF000079736,1981
NJBF000079148,1948
NJBF000078911,1951
NJBF000079438,1955
NJBF000078922,1950
NJBF000078855,1951
NJBF000079517,1960
NJBF000079500,1972
NJBF000079448,1985
NJBF000079123,1977
NJBF000079348,1960
NJBF000079154,1963
NJBF000079376,2009
NJBF000079441,1980
NJBF000079360,1985
NJBF000079339,1958
NJBF000079336,1970
NJBF000079104,1954
NJBF000079282,1966
NJBF000079111,1947
NJBF000079100,1955
NJBF000079022,1952
NJBF000079086,2004
NJBF000079044,1978
NJBF000079040,1972
NJBF000079062,1969
NJBF000078688,1969
NJBF000078744,1962
NJBF000078764,1951
NJBF000078740,1948
NJBF000078728,1956
NJBF000078819,1969
NJBF000078774,1969
NJBF000078761,2006
NJBF000078780,1998
NJBF000078940,1951
NJBF000078834,2016
NJBF000078787,2004
NJBF000078775,2004
NJBF000078827,2017
NJBF000078739,1963
NJBF000078723,1953
NJBF000078641,1969
NJBF000078221,1954
NJBF000078638,1955
NJBF000078696,1955
NJBF000078698,1950
NJBF000078521,1955
NJBF000078502,1955
NJBF000078469,1955
NJBF000078442,1984
NJBF000078470,1950
NJBF000078452,1937
NJBF000078475,2016
NJBF000078426,1951
NJBF000078390,2013
NJBF000082765,1975
NJBF000078387,1950
NJBF000078456,1922
NJBF000078472,1922
NJBF000078322,1946
NJBF000078376,1954
NJBF000078463,1950
NJBF000078163,1950
NJBF000078171,1964
NJBF000078177,2003
NJBF000078255,1951
NJBF000078129,1951
NJBF000078152,1960
NJBF000078063,1946
NJBF000078168,1954
NJBF000078174,1950
NJBF000078118,2005
NJBF000077945,1954
NJBF000077839,1950
NJBF000077956,1950
NJBF000077937,2009
NJBF000078021,1954
NJBF000078061,1969
NJBF000077994,1933
NJBF000077855,1954
NJBF000077915,1952
NJBF000078046,1970
NJBF000078005,1956
NJBF000077918,2004
NJBF000078051,1926
NJBF000077648,2015
NJBF000077669,1960
NJBF000077683,1948
NJBF000077689,1937
NJBF000063582,1920
NJBF000052719,1969
NJBF000052707,2014
NJBF000064863,1940
NJBF000054383,2006
NJBF000070632,1969
NJBF000059046,1928
NJBF000063791,1977
NJBF000092381,2007
NJBF000053687,1925
NJBF000053714,1925
NJBF000069308,1982
NJBF000068931,1969
NJBF000072197,1900
NJBF000051949,1930
NJBF000083417,1990
NJBF000061672,1953
NJBF000058665,1959
NJBF000054278,2009
NJBF000056968,1969
NJBF000060774,1952
NJBF000051511,2014
NJBF000072227,1969
NJBF000063628,1960
NJBF000054013,2015
NJBF000072173,1975
NJBF000064427,1969
NJBF000072895,2006
NJBF000052922,1954
NJBF000069283,1969
NJBF000068521,1900
NJBF000072516,1900
NJBF000056894,1967
NJBF000056548,1925
NJBF000056560,1969
NJBF000057065,1951
NJBF000054453,1978
NJBF000054957,1964
NJBF000055663,1952
NJBF000059602,1956
NJBF000057905,1957
NJBF000061283,1957
NJBF000058550,1952
NJBF000055575,1966
NJBF000055669,1950
NJBF000057658,1950
NJBF000057601,1949
NJBF000066458,1969
NJBF000073903,1998
NJBF000053820,1966
NJBF000057467,1925
NJBF000065109,1966
NJBF000064131,1981
NJBF000053108,2009
NJBF000064133,1969
NJBF000068201,1930
NJBF000072280,1959
NJBF000071219,1953
NJBF000069087,1920
NJBF000069314,1900
NJBF000067661,1908
NJBF000067689,1900
NJBF000052831,1969
NJBF000052862,1954
NJBF000065137,1930
NJBF000058405,1950
NJBF000053215,2017
NJBF000058579,1961
NJBF000053157,1950
NJBF000053132,1952
NJBF000056990,1953
NJBF000058907,1952
NJBF000058340,1945
NJBF000058572,1969
NJBF000063112,1925
NJBF000060017,1940
NJBF000054605,2006
NJBF000077247,1965
NJBF000052606,2008
NJBF000058198,1969
NJBF000058148,1969
NJBF000053148,2006
NJBF000074878,1920
NJBF000059007,1928
NJBF000053789,1964
NJBF000066827,1975
NJBF000053436,2010
NJBF000053405,2017
NJBF000060007,1960
NJBF000053658,1969
NJBF000063027,1972
NJBF000061707,1914
NJBF000053299,1951
NJBF000053779,1988
NJBF000057043,1968
NJBF000056625,2012
NJBF000058397,1955
NJBF000065212,2001
NJBF000059098,1952
NJBF000057691,1950
NJBF000061665,1969
NJBF000067493,1790
NJBF000067461,1790
NJBF000060859,1965
NJBF000059200,1925
NJBF000063626,1990
NJBF000064632,1975
NJBF000072465,1969
NJBF000060928,2016
NJBF000051856,1990
NJBF000071361,2000
NJBF000067147,1900
NJBF000053537,2004
NJBF000072609,1900
NJBF000072085,1969
NJBF000071571,1900
NJBF000060357,1929
NJBF000059969,1930
NJBF000065537,1963
NJBF000063317,1992
NJBF000055184,1959
NJBF000055675,1970
NJBF000064006,1985
NJBF000061903,1978
NJBF000068993,1976
NJBF000059242,1988
NJBF000053920,1950
NJBF000060234,1992
NJBF000060298,1996
NJBF000051507,2014
NJBF000052688,1950
NJBF000066586,1975
NJBF000066564,1967
NJBF000061773,1978
NJBF000061740,1981
NJBF000062956,1964
NJBF000068858,1969
NJBF000068967,1969
NJBF000067184,1969
NJBF000070051,1920
NJBF000067637,1900
NJBF000063997,1979
NJBF000063902,1979
NJBF000053649,1962
NJBF000060035,2015
NJBF000059299,1960
NJBF000056997,1945
NJBF000064123,1925
NJBF000057625,1988
NJBF000052533,2016
NJBF000053094,1969
NJBF000064003,1946
NJBF000063962,1946
NJBF000065525,1925
NJBF000060218,1925
NJBF000070898,1900
NJBF000068372,1969
NJBF000072114,1900
NJBF000066996,1900
NJBF000067020,1900
NJBF000072548,1925
NJBF000057247,1925
NJBF000059945,1925
NJBF000065663,1900
NJBF000057790,1945
NJBF000071438,1900
NJBF000056445,1937
NJBF000069266,1900
NJBF000070550,1900
NJBF000070486,1910
NJBF000056922,1925
NJBF000056889,1925
NJBF000070614,1900
NJBF000067459,1969
NJBF000065893,1920
NJBF000068434,1969
NJBF000052838,1948
NJBF000070576,1915
NJBF000068885,1900
NJBF000070300,1900
NJBF000059741,1925
NJBF000065879,1963
NJBF000060129,2016
NJBF000054730,1950
NJBF000052580,1978
NJBF000058522,1929
NJBF000059899,1950
NJBF000063728,1900
NJBF000063635,1900
NJBF000062777,1965
NJBF000056850,1973
NJBF000057082,1977
NJBF000074383,1950
NJBF000074488,1979
NJBF000060381,1948
NJBF000060536,1921
NJBF000064608,1983
NJBF000066561,1969
NJBF000065653,1969
NJBF000061617,1952
NJBF000060219,1930
NJBF000061684,1925
NJBF000058787,1969
NJBF000060722,1971
NJBF000066806,1972
NJBF000058475,1958
NJBF000060629,1964
NJBF000074405,1962
NJBF000057474,1950
NJBF000053989,1975
NJBF000053960,1975
NJBF000074778,1915
NJBF000057792,1999
NJBF000060464,1929
NJBF000060506,1950
NJBF000053030,1950
NJBF000065859,1969
NJBF000062049,1977
NJBF000060281,1962
NJBF000056807,1970
NJBF000066580,1974
NJBF000060179,2002
NJBF000057028,1972
NJBF000058590,1954
NJBF000058930,1950
NJBF000074369,1968
NJBF000056410,1935
NJBF000057638,2009
NJBF000066884,1988
NJBF000074147,1996
NJBF000066168,1972
NJBF000058732,1945
NJBF000058805,1953
NJBF000060058,1950
NJBF000063156,1962
NJBF000060054,1950
NJBF000060109,1925
NJBF000058647,1945
NJBF000058257,1954
NJBF000060659,1942
NJBF000060391,1920
NJBF000054055,2008
NJBF000064255,1957
NJBF000070354,1969
NJBF000061168,1952
NJBF000067753,1900
NJBF000074815,1950
NJBF000074791,1951
NJBF000059562,1939
NJBF000059583,1945
NJBF000074557,1920
NJBF000058080,1946
NJBF000058693,1962
NJBF000056372,1964
NJBF000058456,1969
NJBF000053061,1947
NJBF000056541,1930
NJBF000054110,2017
NJBF000057270,1952
NJBF000057907,1955
NJBF000059659,1969
NJBF000063247,1920
NJBF000051594,1951
NJBF000069740,1969
NJBF000052660,1967
NJBF000058776,1954
NJBF000068965,1918
NJBF000052693,1960
NJBF000065476,1947
NJBF000068312,1967
NJBF000054735,1958
NJBF000072640,1969
NJBF000055707,2008
NJBF000064418,1974
NJBF000058862,2012
NJBF000058821,2012
NJBF000057221,1969
NJBF000056161,1922
NJBF000052686,1969
NJBF000065493,1986
NJBF000065597,1979
NJBF000055340,1948
NJBF000060847,1990
NJBF000059186,1971
NJBF000058385,2013
NJBF000052421,1969
NJBF000052422,1969
NJBF000052461,1969
NJBF000073070,1969
NJBF000063931,1975
NJBF000072033,1990
NJBF000063723,1969
NJBF000060272,1969
NJBF000053380,2014
NJBF000058938,1948
NJBF000058947,2012
NJBF000058884,1928
NJBF000069376,1935
NJBF000053316,2015
NJBF000053283,2015
NJBF000053367,1960
NJBF000053324,1956
NJBF000053336,2004
NJBF000062855,1930
NJBF000062817,2016
NJBF000070765,1900
NJBF000070844,1924
NJBF000068199,1969
NJBF000067632,1969
NJBF000066772,1991
NJBF000058104,1952
NJBF000052958,1950
NJBF000060247,1997
NJBF000060553,1963
NJBF000066344,1974
NJBF000060453,1950
NJBF000065082,1960
NJBF000060871,1950
NJBF000067858,1969
NJBF000060341,1930
NJBF000065978,1975
NJBF000064356,1969
NJBF000058387,2014
NJBF000056816,1930
NJBF000060693,1927
NJBF000058347,1929
NJBF000053791,1955
NJBF000060193,1950
NJBF000057729,2003
NJBF000066167,1928
NJBF000054533,1991
NJBF000054461,1991
NJBF000084275,1836
NJBF000058997,1925
NJBF000061692,1993
NJBF000056309,1962
NJBF000058975,1969
NJBF000052952,2004
NJBF000062220,1946
NJBF000057542,1925
NJBF000053974,1951
NJBF000059986,1960
NJBF000060045,1946
NJBF000057867,1952
NJBF000054510,1957
NJBF000066800,1978
NJBF000065041,1926
NJBF000056898,1967
NJBF000073037,1969
NJBF000075099,1948
NJBF000066756,1972
NJBF000083281,1950
NJBF000065045,1940
NJBF000063115,1977
NJBF000059663,1952
NJBF000065438,1960
NJBF000062336,1920
NJBF000066127,1981
NJBF000056884,1927
NJBF000056505,1986
NJBF000058945,1952
NJBF000058194,1951
NJBF000059345,1925
NJBF000082398,1986
NJBF000071296,1958
NJBF000053200,1954
NJBF000059841,1965
NJBF000063068,2015
NJBF000056920,1964
NJBF000058135,1957
NJBF000063328,1979
NJBF000057717,2000
NJBF000057881,1955
NJBF000073980,1922
NJBF000058699,1927
NJBF000058530,1963
NJBF000060130,1963
NJBF000060069,1963
NJBF000060706,1964
NJBF000056570,1987
NJBF000060242,1953
NJBF000056574,2012
NJBF000060697,1945
NJBF000058689,1925
NJBF000066645,1965
NJBF000053147,2000
NJBF000062254,1968
NJBF000063445,1984
NJBF000060072,1948
NJBF000063055,1969
NJBF000056522,1950
NJBF000057245,1925
NJBF000074924,1956
NJBF000059228,1925
NJBF000056651,1925
NJBF000056668,1925
NJBF000060482,1948
NJBF000059023,1925
NJBF000060137,1950
NJBF000056457,1994
NJBF000057093,1966
NJBF000054756,1963
NJBF000064149,1920
NJBF000055435,1979
NJBF000059187,1965
NJBF000065105,1900
NJBF000068631,1900
NJBF000055310,1970
NJBF000053956,1968
NJBF000052566,2016
NJBF000051901,1970
NJBF000072617,1969
NJBF000052808,1950
NJBF000062120,1966
NJBF000062094,1964
NJBF000055383,1979
NJBF000051678,1982
NJBF000051616,1955
NJBF000060656,1950
NJBF000060585,1950
NJBF000060535,1950
NJBF000056636,1985
NJBF000062816,1962
NJBF000060038,1952
NJBF000051358,1990
NJBF000077825,2014
NJBF000077628,2003
NJBF000077627,1928
NJBF000077831,1953
NJBF000077776,1956
NJBF000077678,1969
NJBF000077699,1956
NJBF000077611,1958
NJBF000077768,1956
NJBF000076610,1950
NJBF000077605,1951
NJBF000077320,1962
NJBF000077403,2016
NJBF000077420,2016
NJBF000077392,2017
NJBF000077596,1969
NJBF000077408,1941
NJBF000077572,1998
NJBF000073443,1975
NJBF000075628,1988
NJBF000073176,2006
NJBF000073405,1975
NJBF000077526,1955
NJBF000077489,1956
NJBF000077548,1960
NJBF000073435,1975
NJBF000073424,1978
NJBF000073426,1975
NJBF000077497,2011
NJBF000077545,1950
NJBF000075626,1950
NJBF000076596,1936
NJBF000075635,1952
NJBF000077022,1956
NJBF000077102,1954
NJBF000077125,1954
NJBF000077088,1956
NJBF000077186,1954
NJBF000077172,2017
NJBF000077184,2017
NJBF000077064,1927
NJBF000076922,1922
NJBF000076874,1969
NJBF000076973,1969
NJBF000076831,1955
NJBF000075118,1968
NJBF000076962,1955
NJBF000075154,1977
NJBF000075142,1962
NJBF000076783,1964
NJBF000075163,1968
NJBF000074016,1985
NJBF000075122,1968
NJBF000075044,1952
NJBF000075039,1969
NJBF000075778,1955
NJBF000075132,1977
NJBF000076658,1969
NJBF000076675,1969
NJBF000076415,1969
NJBF000076668,1952
NJBF000076730,1954
NJBF000076441,1969
NJBF000076510,2006
NJBF000076679,1960
NJBF000076684,1969
NJBF000076681,1957
NJBF000075901,1941
NJBF000076021,1969
NJBF000076028,1950
NJBF000075907,1983
NJBF000076039,1969
NJBF000075981,1949
NJBF000075808,1950
NJBF000075514,1952
NJBF000075228,1968
NJBF000075743,1972
NJBF000075109,1968
NJBF000075618,1945
NJBF000073519,1975
NJBF000073536,1975
NJBF000073448,1975
NJBF000073488,1974
NJBF000073754,1969
NJBF000076318,1969
NJBF000079611,1955
NJBF000075534,1969
NJBF000080741,1987
NJBF000082328,1975
NJBF000080280,1962
NJBF000080090,1972
NJBF000075542,2015
NJBF000080027,1978
NJBF000079891,2016
NJBF000078876,1969
NJBF000079876,1980
NJBF000076251,1955
NJBF000051871,1959
NJBF000051851,1959
NJBF000079172,1955
NJBF000079696,1972
NJBF000077394,1987
NJBF000079709,1993
NJBF000079640,1968
NJBF000079606,1956
NJBF000079618,1980
NJBF000079531,1981
NJBF000079541,1964
NJBF000079459,1991
NJBF000078849,1953
NJBF000079362,1964
NJBF000076550,2002
NJBF000079377,1950
NJBF000079266,1940
NJBF000079315,1961
NJBF000081853,1956
NJBF000079196,1926
NJBF000079203,2017
NJBF000079078,1955
NJBF000081974,1920
NJBF000079046,1955
NJBF000078990,1955
NJBF000078942,1951
NJBF000078818,1951
NJBF000077368,1928
NJBF000078768,1984
NJBF000078778,1984
NJBF000077541,1956
NJBF000078699,1969
NJBF000080197,1956
NJBF000082063,2003
NJBF000082588,2003
NJBF000078250,1930
NJBF000078043,1954
NJBF000078150,2009
NJBF000077998,1957
NJBF000077991,1957
NJBF000077788,1986
NJBF000077375,1969
NJBF000077350,2006
NJBF000077621,2017
NJBF000077622,1952
NJBF000078445,1955
NJBF000077428,2007
NJBF000077955,1958
NJBF000077973,1958
NJBF000077983,1957
NJBF000080998,1980
NJBF000074789,1968
NJBF000073178,1975
NJBF000073373,1975
NJBF000073451,1975
NJBF000073410,1975
NJBF000077549,1986
NJBF000077551,1927
NJBF000077107,1956
NJBF000077117,1925
NJBF000077071,1956
NJBF000077004,1974
NJBF000077000,1969
NJBF000077050,1969
NJBF000077007,1956
NJBF000076920,1920
NJBF000076945,1920
NJBF000076893,2005
NJBF000076859,1969
NJBF000075783,1950
NJBF000082543,1968
NJBF000076751,1969
NJBF000076746,1969
NJBF000076664,1962
NJBF000080988,1985
NJBF000076932,1993
NJBF000077269,1926
NJBF000079856,1950
NJBF000075292,1964
NJBF000076238,1948
NJBF000075668,1972
NJBF000080290,1960
NJBF000077431,1955
NJBF000078373,1950
NJBF000073272,1975
NJBF000073222,1975
NJBF000076076,1956
NJBF000078091,1954
NJBF000075988,2001
NJBF000074848,1968
NJBF000075430,1969
NJBF000075737,1956
NJBF000075655,2006
NJBF000074087,1976
NJBF000075614,1969
NJBF000074140,1980
NJBF000075274,1964
NJBF000074209,1969
NJBF000074126,1977
NJBF000073235,1975
NJBF000074506,1950
NJBF000074983,1925
NJBF000052352,1960
NJBF000074160,1950
NJBF000073571,2001
NJBF000073580,1978
NJBF000080932,1972
NJBF000081093,1976
NJBF000080908,1986
NJBF000080972,1978
NJBF000051792,2013
NJBF000080928,1974
NJBF000080959,1981
NJBF000081021,1988
